[Sun Nov 03 03:35:20.799867 2013] [:error] [pid 8450] [client 127.0.0.1:54189] PHP  12. Fabex\\Bundle\\BetaSerieBundle\\Services\\BetaSerie->sendRequest() /home/fabex/dev/adstSF2/src/Fabex/Bundle/BetaSerieBundle/Services/BetaSerie.php:48
[Sun Nov 03 08:20:28.987541 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP Fatal error:  Cannot use [] for reading in /home/fabex/dev/adstSF2/src/Fabex/Bundle/SubTitleProviderBundle/Services/Providers/SubTitleProviderAbstract.php on line 16
[Sun Nov 03 08:20:28.987567 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP Stack trace:
[Sun Nov 03 08:20:28.987577 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP   1. {main}() /home/fabex/dev/adstSF2/web/app_dev.php:0
[Sun Nov 03 08:20:28.987584 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP   2. Symfony\\Component\\HttpKernel\\Kernel->handle() /home/fabex/dev/adstSF2/web/app_dev.php:28
[Sun Nov 03 08:20:28.987591 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP   3. Symfony\\Component\\HttpKernel\\DependencyInjection\\ContainerAwareHttpKernel->handle() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:2249
[Sun Nov 03 08:20:28.987598 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP   4. Symfony\\Component\\HttpKernel\\HttpKernel->handle() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:2947
[Sun Nov 03 08:20:28.987604 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP   5. Symfony\\Component\\HttpKernel\\HttpKernel->handleRaw() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:2818
[Sun Nov 03 08:20:28.987610 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP   6. call_user_func_array() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:2844
[Sun Nov 03 08:20:28.987617 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP   7. Fabex\\Bundle\\SubTitleProviderBundle\\Controller\\DefaultController->getSubTitleAction() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:2844
[Sun Nov 03 08:20:28.987623 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP   8. Symfony\\Bundle\\FrameworkBundle\\Controller\\Controller->get() /home/fabex/dev/adstSF2/src/Fabex/Bundle/SubTitleProviderBundle/Controller/DefaultController.php:17
[Sun Nov 03 08:20:28.987630 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP   9. Symfony\\Component\\DependencyInjection\\Container->get() /home/fabex/dev/adstSF2/vendor/symfony/symfony/src/Symfony/Bundle/FrameworkBundle/Controller/Controller.php:252
[Sun Nov 03 08:20:28.987636 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP  10. appDevDebugProjectContainer->getFabexSubTitleProvider_SubtitleService() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:1975
